,BuildingType,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge,TotalUseTypeNumber,GFABuildingRate,GFAParkingRate,GFAPerBuilding,GFAPerFloor,harvesine_distance
0,NonResidential,Hotel,DOWNTOWN,1,12,88434,Hotel,81.69999695,7226362.5,249.98,2.83,89,1,1.0,0.0,88434.0,7369.5,0.4967821234009228
1,NonResidential,Hotel,DOWNTOWN,1,11,103566,Hotel,94.80000305,8387933.0,295.86,2.86,20,3,0.85455,0.14545,103566.0,9415.091,0.4887262103626452
2,NonResidential,Hotel,DOWNTOWN,1,41,956110,Hotel,96.0,72587024.0,2089.28,2.19,47,1,0.79425,0.20575,956110.0,23319.756,0.6023784009299225
3,NonResidential,Hotel,DOWNTOWN,1,10,61320,Hotel,110.8000031,6794584.0,286.43,4.67,90,1,1.0,0.0,61320.0,6132.0,0.5862525898878533
4,NonResidential,Hotel,DOWNTOWN,1,18,175580,Hotel,114.8000031,14172606.0,505.01,2.88,36,3,0.64688,0.35312,175580.0,9754.444,0.6508005468558727
5,Nonresidential COS,Other,DOWNTOWN,1,2,97288,Police Station,136.1000061,12086616.0,301.81,3.1,17,1,0.61765,0.38235,97288.0,48644.0,0.7231049269405355
6,NonResidential,Hotel,DOWNTOWN,1,11,83008,Hotel,70.80000305,5758795.0,176.14,2.12,90,1,1.0,0.0,83008.0,7546.182,0.5327330556529828
7,NonResidential,Other,DOWNTOWN,1,8,102761,Other - Entertainment/Public Assembly,61.29999924,6298131.5,221.51,2.16,90,1,1.0,0.0,102761.0,12845.125,0.4893635664651936
8,NonResidential,Hotel,DOWNTOWN,1,15,163984,Hotel,83.69999695,13723820.0,392.16,2.39,112,1,1.0,0.0,163984.0,10932.267,0.2264356907949372
9,Multifamily MR (5-9),Mid-Rise Multifamily,DOWNTOWN,1,6,63712,Multifamily Housing,81.5,4573777.0,151.12,2.37,106,1,0.97652,0.02348,63712.0,10618.667,0.2323074936168032
10,NonResidential,Hotel,DOWNTOWN,1,11,153163,Hotel,119.5999985,16016644.0,691.26,4.51,47,1,0.87413,0.12587,153163.0,13923.909,0.1081662624009346
11,NonResidential,Hotel,DOWNTOWN,1,25,333176,Hotel,80.0,26941110.0,740.97,2.22,18,1,0.81643,0.18357,333176.0,13327.04,0.083007687815486
12,NonResidential,Hotel,DOWNTOWN,1,9,65009,Hotel,101.5,6596057.5,328.23,5.05,88,1,1.0,0.0,65009.0,7223.222,0.0835667162458115
13,NonResidential,Hotel,DOWNTOWN,1,33,315952,Hotel,75.5,22325364.0,648.62,2.05,36,2,0.81769,0.18231,315952.0,9574.303,0.1304987967834525
14,NonResidential,Hotel,DOWNTOWN,1,11,92190,Hotel,159.5,10750010.0,511.39,5.55,94,2,0.72665,0.27335,92190.0,8380.909,0.0945452689912007
15,Nonresidential COS,Other,DOWNTOWN,1,11,412000,Library,50.79999924,18588860.0,181.38,0.44,12,3,0.86165,0.13835,412000.0,37454.545,0.0451793581532458
16,NonResidential,Other,DOWNTOWN,1,6,103911,Fitness Center/Health Club/Gym,76.59999847,9956396.0,433.86,4.18,86,3,1.0,0.0,103911.0,17318.5,0.0603514779230892
17,NonResidential,Hotel,DOWNTOWN,1,28,416281,Hotel,96.30000305,33556756.0,802.89,1.93,33,2,0.79581,0.20419,416281.0,14867.179,0.0744966909391978
18,NonResidential,Mixed Use Property,DOWNTOWN,1,5,57452,Social/Meeting Hall,132.3999939,7606084.5,273.02,4.75,109,5,1.0,0.0,57452.0,11490.4,0.0762859936036595
19,NonResidential,Hotel,DOWNTOWN,1,10,104352,Hotel,97.30000305,10154608.0,349.32,3.35,100,1,1.0,0.0,104352.0,10435.2,0.1686349262385081
20,NonResidential,Other,DOWNTOWN,1,10,540360,Courthouse,83.69999695,44984468.0,1265.29,2.34,100,1,1.0,0.0,540360.0,54036.0,0.2560432252595674
21,NonResidential,Other,DOWNTOWN,1,19,385274,Other,124.1999969,47859812.0,1699.45,4.41,31,1,1.0,0.0,385274.0,20277.579,0.2393065482340545
22,SPS-District K-12,K-12 School,SOUTHEAST,1,2,56228,K-12 School,26.10000038,1539478.5,38.53,0.69,55,1,1.0,0.0,56228.0,28114.0,5.116862738648708
23,NonResidential,Hotel,NORTHEAST,1,6,88592,Hotel,63.20000076,3663534.5,90.01,1.02,15,2,0.65475,0.34525,88592.0,14765.333,3.7479721783462057
24,NonResidential,University,DOWNTOWN,1,7,126593,College/University,90.69999695,11343686.0,388.04,3.07,88,1,1.0,0.0,126593.0,18084.714,0.8484991179604295
25,NonResidential,Other,DOWNTOWN,1,2,67224,Automobile Dealership,19.5,1310236.625,9.13,0.14,86,1,1.0,0.0,67224.0,33612.0,0.6105578831953249
26,NonResidential,Hotel,EAST,1,8,158676,Hotel,45.5,5328051.5,256.57,1.62,25,4,0.80904,0.19096,158676.0,19834.5,0.4880526092550726
27,NonResidential,Hotel,DOWNTOWN,1,10,171866,Hotel,85.80000305,11061916.0,328.63,1.91,15,1,0.77726,0.22274,171866.0,17186.6,0.8116716607091687
29,NonResidential,Hotel,DOWNTOWN,1,5,68410,Hotel,92.90000153,4456714.5,128.44,1.88,38,1,0.76319,0.23681,68410.0,13682.0,0.7910981473177255
30,SPS-District K-12,K-12 School,NORTH,1,2,160645,K-12 School,41.29999924,6779173.0,270.18,1.68,67,1,1.0,0.0,160645.0,80322.5,7.38984373038417
32,NonResidential,Small- and Mid-Sized Office,LAKE UNION,1,3,87262,Office,61.5,4145920.5,157.77,1.81,110,4,1.0,0.0,87262.0,29087.333,3.997947686292328
33,NonResidential,Hotel,NORTHEAST,1,4,81871,Hotel,81.5,6668568.5,215.0,2.63,22,1,1.0,0.0,81871.0,20467.75,4.385247360521327
34,NonResidential,Self-Storage Facility,NORTHEAST,1,2,110356,Self-Storage Facility,12.10000038,318364.8125,3.93,0.04,61,1,1.0,0.0,110356.0,55178.0,4.185590355386213
35,Campus,Mixed Use Property,GREATER DUWAMISH,1,3,494835,Office,221.6999969,448385312.0,16870.98,34.09,24,5,1.0,0.0,494835.0,164945.0,4.965238527600996
36,NonResidential,Warehouse,GREATER DUWAMISH,3,2,714095,Non-Refrigerated Warehouse,46.40000153,44731160.0,311.84,0.44,55,3,1.0,0.0,238031.667,357047.5,6.85137042931073
37,SPS-District K-12,K-12 School,MAGNOLIA / QUEEN ANNE,1,2,54986,K-12 School,30.0,1650279.25,31.47,0.57,26,1,1.0,0.0,54986.0,27493.0,4.420259019931173
38,SPS-District K-12,K-12 School,NORTHEAST,1,2,175565,K-12 School,35.0,6399127.5,266.05,1.52,66,1,1.0,0.0,175565.0,87782.5,5.545232521499483
39,NonResidential,Small- and Mid-Sized Office,BALLARD,1,2,94900,Office,65.19999695,6186461.5,130.56,1.38,55,2,1.0,0.0,94900.0,47450.0,4.7933718765922215
40,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1,2,52554,Office,50.09999847,2951331.25,83.86,1.6,116,2,1.0,0.0,52554.0,26277.0,2.030829288987207
41,NonResidential,K-12 School,NORTHWEST,1,3,175015,K-12 School,40.0,6994740.5,247.85,1.42,62,1,1.0,0.0,175015.0,58338.333,5.712958848154157
42,NonResidential,Self-Storage Facility,DOWNTOWN,1,3,70586,Self-Storage Facility,30.60000038,2158629.0,45.43,0.64,105,3,1.0,0.0,70586.0,23528.667,1.0259968729431876
43,NonResidential,Hotel,DOWNTOWN,1,24,332210,Hotel,46.40000153,16163194.0,295.33,0.89,47,1,0.38,0.62,332210.0,13842.083,0.232721741400125
44,NonResidential,Large Office,DOWNTOWN,1,5,168115,Office,56.29999924,9536161.0,66.48,0.4,43,3,1.0,0.0,168115.0,33623.0,0.4094876841226142
45,NonResidential,Other,DOWNTOWN,1,2,57428,Other - Mall,21.70000076,1247362.0,33.26,0.58,96,4,1.0,0.0,57428.0,28714.0,0.4072758594909259
46,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1,8,59400,Office,85.40000153,5071974.0,35.36,0.6,106,2,1.0,0.0,59400.0,7425.0,0.4015365231925362
47,NonResidential,Mixed Use Property,DOWNTOWN,1,2,52549,Other - Entertainment/Public Assembly,286.3999939,15026196.0,584.31,11.12,90,3,1.0,0.0,52549.0,26274.5,0.309068567964086
48,NonResidential,Hotel,DOWNTOWN,1,20,98634,Hotel,54.59999847,4841347.5,59.19,0.6,86,3,0.89818,0.10182,98634.0,4931.7,0.4356801283333005
49,NonResidential,Hotel,DOWNTOWN,1,34,994212,Hotel,80.90000153,80469216.0,2451.58,2.47,34,3,0.85245,0.14755,994212.0,29241.529,0.3279851132685661
50,NonResidential,Hotel,DOWNTOWN,1,7,71150,Hotel,93.09999847,5348309.0,134.38,1.89,31,4,1.0,0.0,71150.0,10164.286,0.5043489352214227
51,NonResidential,Hotel,DOWNTOWN,1,7,122810,Hotel,44.0,5401277.5,227.18,1.85,108,3,1.0,0.0,122810.0,17544.286,0.5599366578963526
52,NonResidential,Hotel,LAKE UNION,1,5,113173,Hotel,74.80000305,5284343.5,144.79,1.28,57,2,0.62406,0.37594,113173.0,22634.6,1.096852583213242
53,NonResidential,Hotel,LAKE UNION,1,7,150453,Hotel,60.70000076,6715187.0,199.95,1.33,16,1,0.76913,0.23087,150453.0,21493.286,1.074457456213199
54,NonResidential,Hotel,LAKE UNION,1,6,116300,Hotel,65.90000153,5827595.5,162.39,1.4,19,1,0.75752,0.24248,116300.0,19383.333,1.0977801290103155
55,NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1,6,155602,Hotel,43.90000153,6836900.0,152.76,0.98,18,1,0.76386,0.23614,155602.0,25933.667,1.6019026059369783
56,NonResidential,K-12 School,EAST,1,3,56072,K-12 School,57.70000076,3234787.75,146.34,2.61,105,1,1.0,0.0,56072.0,18690.667,2.249839831236931
57,NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1,4,122942,Hotel,68.40000153,5337334.0,171.64,1.4,17,2,0.63486,0.36514,122942.0,30735.5,1.4336956608604086
58,NonResidential,Small- and Mid-Sized Office,CENTRAL,1,2,54984,Office,61.40000153,3375211.0,87.98,1.6,54,1,1.0,0.0,54984.0,27492.0,1.058578308416805
59,NonResidential,Senior Care Community,SOUTHWEST,1,5,217603,Senior Care Community,144.3999939,42792072.0,1727.11,7.94,94,2,1.0,0.0,217603.0,43520.6,3.9215818008388497
60,NonResidential,Senior Care Community,NORTHWEST,1,2,93397,Senior Care Community,175.6000061,16402563.0,609.1,6.52,46,1,1.0,0.0,93397.0,46698.5,8.226824415880666
61,NonResidential,Hotel,LAKE UNION,1,6,84103,Hotel,58.5,3706100.25,67.06,0.8,8,2,0.75349,0.24651,84103.0,14017.167,0.9445387955438403
63,NonResidential,Hotel,EAST,1,7,76631,Hotel,94.69999695,7258758.5,262.75,3.43,108,1,1.0,0.0,76631.0,10947.286,0.3078369516859505
64,NonResidential,Mixed Use Property,EAST,1,6,99780,Medical Office,204.5,15473117.0,481.97,4.83,33,6,0.90638,0.09362,99780.0,16630.0,0.3086785274422612
65,NonResidential,Retail Store,LAKE UNION,1,2,58320,Retail Store,14.60000038,1049748.625,39.06,0.67,87,1,1.0,0.0,58320.0,29160.0,1.1502964556204622
66,NonResidential,Large Office,LAKE UNION,1,5,316306,Office,48.0,13795954.0,138.85,0.44,6,4,1.0,0.0,316306.0,63261.2,1.2619985070203643
67,NonResidential,Hotel,LAKE UNION,1,7,282863,Hotel,82.5,19459304.0,526.85,1.86,26,2,0.84174,0.15826,282863.0,40409.0,1.3971200990454498
68,Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1,1,389000,Other,64.30000305,23658978.0,607.41,1.56,54,1,1.0,0.0,389000.0,389000.0,1.4964339523891748
69,Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1,1,91213,Other,125.1999969,8141155.5,344.2,3.77,54,1,1.0,0.0,91213.0,91213.0,1.4964339523891748
70,Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1,5,396085,Other,75.19999695,20955026.0,804.2,2.03,78,1,1.0,0.0,396085.0,79217.0,1.4964339523891748
71,NonResidential,Large Office,LAKE UNION,1,12,571329,Office,63.40000153,39605888.0,617.52,1.08,6,3,1.0,0.0,571329.0,47610.75,1.048452834247318
72,Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1,2,52000,Other,52.40000153,2726369.0,101.83,1.96,54,1,1.0,0.0,52000.0,26000.0,1.5023640691112004
73,Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1,1,60696,Other,8.100000381,875943.3125,6.11,0.1,88,1,1.0,0.0,60696.0,60696.0,1.5023640691112004
74,Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1,2,262048,Other,70.0,20723248.0,490.73,1.87,88,1,1.0,0.0,262048.0,131024.0,1.5203386358684792
75,NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,1,6,920598,Office,49.79999924,36667044.0,674.09,0.73,6,3,0.6701,0.3299,920598.0,153433.0,1.3682892980830728
76,NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1,4,76213,Office,68.19999695,3476212.5,48.76,0.64,46,3,0.65977,0.34023,76213.0,19053.25,1.574725655576397
77,NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1,6,96910,Hotel,86.0,5155568.5,152.14,1.57,14,2,0.61888,0.38112,96910.0,16151.667,1.637971978923479
78,NonResidential,Hotel,NORTHEAST,2,4,50017,Hotel,108.9000015,5448975.0,191.2,3.82,54,2,1.0,0.0,25008.5,12504.25,3.62097172304645
80,NonResidential,K-12 School,EAST,1,3,67743,K-12 School,39.09999847,2646879.0,78.85,1.16,93,1,1.0,0.0,67743.0,22581.0,1.7323972009078563
81,NonResidential,K-12 School,EAST,1,6,194104,K-12 School,32.0,6219841.5,243.23,1.25,108,1,1.0,0.0,194104.0,32350.667,1.9048084900091724
82,NonResidential,Small- and Mid-Sized Office,SOUTHEAST,1,3,99433,Office,76.90000153,4897760.0,34.14,0.34,13,2,0.64044,0.35956,99433.0,33144.333,2.096642687285637
84,SPS-District K-12,K-12 School,GREATER DUWAMISH,1,1,130862,K-12 School,48.0,6456026.0,238.48,1.82,59,1,1.0,0.0,130862.0,130862.0,3.0506940498006188
85,SPS-District K-12,K-12 School,SOUTHEAST,1,3,59955,K-12 School,27.20000076,1633399.375,20.48,0.34,27,1,1.0,0.0,59955.0,19985.0,4.409234339365174
86,SPS-District K-12,K-12 School,MAGNOLIA / QUEEN ANNE,1,2,93218,K-12 School,31.0,2887392.0,84.75,0.91,52,1,1.0,0.0,93218.0,46609.0,2.4566549212390747
87,NonResidential,Other,NORTHEAST,1,4,56521,Other,129.6999969,6357632.0,44.32,0.78,75,1,1.0,0.0,56521.0,14130.25,4.830226647668047
88,NonResidential,Other,NORTHEAST,1,2,206934,Other,35.70000076,4253577.5,133.58,0.65,87,2,1.0,0.0,206934.0,103467.0,4.837719945624865
89,NonResidential,Hotel,NORTHWEST,1,4,51390,Hotel,70.30000305,3611538.0,127.29,2.48,15,2,1.0,0.0,51390.0,12847.5,8.668588591104571
90,SPS-District K-12,K-12 School,NORTHWEST,1,2,131013,K-12 School,29.5,3894584.5,124.92,0.95,53,1,1.0,0.0,131013.0,65506.5,8.235400112063614
91,SPS-District K-12,K-12 School,NORTHWEST,1,1,245587,K-12 School,47.90000153,11765682.0,443.73,1.81,57,1,1.0,0.0,245587.0,245587.0,8.25384766466155
92,NonResidential,Hotel,NORTHWEST,1,3,69138,Hotel,45.90000153,3242458.0,89.02,1.29,14,1,1.0,0.0,69138.0,23046.0,8.251427936896603
94,NonResidential,Hotel,DOWNTOWN,1,5,190980,Hotel,34.09999847,6505995.0,142.39,0.75,112,2,1.0,0.0,190980.0,38196.0,0.2391981262113
95,Nonresidential COS,Other,DOWNTOWN,1,6,284100,Other - Entertainment/Public Assembly,77.19999695,14641502.0,429.12,1.51,18,1,1.0,0.0,284100.0,47350.0,0.2489852449243769
96,NonResidential,Hospital,BALLARD,4,5,285333,Hospital (General Medical & Surgical),225.0,68090728.0,1990.5,6.98,62,2,1.0,0.0,71333.25,57066.6,4.765862056534301
97,SPS-District K-12,K-12 School,BALLARD,1,2,55513,K-12 School,25.60000038,1513570.75,10.55,0.19,25,1,1.0,0.0,55513.0,27756.5,4.662506440279167
98,Nonresidential COS,Other,DOWNTOWN,1,4,61156,Other,130.1000061,9363374.0,176.75,2.89,10,2,1.0,0.0,61156.0,15289.0,0.4027057976167026
99,NonResidential,Other,DOWNTOWN,1,4,72820,Museum,34.70000076,2010454.625,46.26,0.64,106,1,0.81022,0.18978,72820.0,18205.0,0.7069677652454878
100,NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1,4,162222,Hotel,69.90000153,7946961.0,228.4,1.41,20,2,0.91247,0.08753,162222.0,40555.5,1.5353274630213936
101,SPS-District K-12,K-12 School,SOUTHEAST,1,4,289588,K-12 School,30.5,8819852.0,170.84,0.59,26,1,1.0,0.0,289588.0,72397.0,2.7541444212015063
102,NonResidential,University,EAST,1,3,63330,College/University,47.20000076,3059758.0,74.33,1.17,101,1,1.0,0.0,63330.0,21110.0,0.7721395305218258
103,Campus,University,DELRIDGE,27,2,441071,College/University,79.30000305,38301744.0,866.23,1.96,46,1,1.0,0.0,16335.963,220535.5,4.202558771192106
104,NonResidential,Small- and Mid-Sized Office,NORTHEAST,1,2,96300,Office,167.8000031,16319835.0,222.02,2.31,14,2,1.0,0.0,96300.0,48150.0,5.885588002884025
105,Nonresidential COS,Other,GREATER DUWAMISH,1,1,67356,"Repair Services (Vehicle, Shoe, Locksmith, etc)",109.4000015,7475577.5,204.08,3.03,66,4,1.0,0.0,67356.0,67356.0,0.8923556115023553
106,SPS-District K-12,K-12 School,CENTRAL,1,3,254523,K-12 School,53.29999924,13567774.0,359.09,1.41,8,1,1.0,0.0,254523.0,84841.0,1.421777399916664
107,SPS-District K-12,K-12 School,SOUTHEAST,1,3,78804,K-12 School,31.70000076,2499140.0,56.82,0.72,15,1,1.0,0.0,78804.0,26268.0,7.177930572429253
108,SPS-District K-12,K-12 School,CENTRAL,1,3,66994,K-12 School,35.40000153,2371304.5,41.74,0.62,14,1,1.0,0.0,66994.0,22331.333,1.9640082260414404
109,SPS-District K-12,K-12 School,GREATER DUWAMISH,1,3,98357,K-12 School,35.09999847,3456131.5,94.64,0.96,16,1,1.0,0.0,98357.0,32785.667,5.68557211744968
110,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1,1,54765,Office,83.80000305,4253369.5,61.21,1.12,58,2,1.0,0.0,54765.0,54765.0,5.196742018680127
111,NonResidential,Other,GREATER DUWAMISH,1,5,89821,Other - Lodging/Residential,21.89999962,1950092.5,100.46,1.12,7,3,1.0,0.0,89821.0,17964.2,5.263464864282611
112,NonResidential,University,MAGNOLIA / QUEEN ANNE,1,2,52611,College/University,78.30000305,4116871.5,104.26,1.98,36,1,1.0,0.0,52611.0,26305.5,3.4067420470024694
113,NonResidential,Residence Hall,MAGNOLIA / QUEEN ANNE,1,4,139600,Residence Hall/Dormitory,32.79999924,4448582.5,129.39,0.93,15,1,0.73138,0.26862,139600.0,34900.0,3.397193397909211
114,SPS-District K-12,K-12 School,NORTH,1,2,236758,K-12 School,35.0,8355988.5,222.78,0.94,5,2,1.0,0.0,236758.0,118379.0,7.217929911572386
115,NonResidential,Other,CENTRAL,3,6,250981,Other,60.5,13071700.0,422.39,1.68,45,2,1.0,0.0,83660.333,41830.167,0.7808953926325171
116,SPS-District K-12,K-12 School,NORTHWEST,1,3,62526,K-12 School,31.79999924,1986094.875,54.07,0.86,14,1,1.0,0.0,62526.0,20842.0,5.744209251139883
117,NonResidential,Other,DOWNTOWN,1,11,299070,Other,261.2999878,65336980.0,2055.82,6.87,12,1,0.77118,0.22882,299070.0,27188.182,0.6842894535543973
118,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1,3,64015,Office,60.0,3242077.75,49.58,0.77,9,3,1.0,0.0,64015.0,21338.333,4.893299798215085
119,NonResidential,Retail Store,NORTH,1,1,530039,Retail Store,52.29999924,27717034.0,723.47,1.36,65,2,1.0,0.0,530039.0,530039.0,7.00722129591438
120,NonResidential,Other,NORTH,1,3,54224,Other/Specialty Hospital,154.5,7265178.0,231.53,4.27,52,1,1.0,0.0,54224.0,18074.667,6.95133554574774
121,NonResidential,Retail Store,NORTH,1,4,124342,Retail Store,71.90000153,8765978.0,66.3,0.53,51,1,1.0,0.0,124342.0,31085.5,6.909928835124199
122,NonResidential,Hospital,NORTHEAST,6,10,879000,Hospital (General Medical & Surgical),288.7999878,253832464.0,8145.52,9.27,63,1,1.0,0.0,146500.0,87900.0,4.534332008458324
123,NonResidential,Other,NORTHWEST,1,3,55442,Financial Office,85.59999847,3191228.25,83.7,1.51,20,3,1.0,0.0,55442.0,18480.667,7.137387235982877
124,SPS-District K-12,K-12 School,BALLARD,1,2,242795,K-12 School,37.70000076,9157150.0,123.71,0.51,17,1,1.0,0.0,242795.0,121397.5,5.2532339880297325
125,NonResidential,Self-Storage Facility,EAST,1,5,84870,Self-Storage Facility,16.20000076,1381590.125,51.11,0.6,106,1,1.0,0.0,84870.0,16974.0,0.8165002965355709
126,Campus,University,NORTHWEST,11,2,694072,College/University,53.79999924,35891484.0,362.82,0.52,46,1,0.83917,0.16083,63097.455,347036.0,6.432866592208198
127,SPS-District K-12,K-12 School,SOUTHEAST,1,2,173185,K-12 School,35.40000153,6127771.5,242.36,1.4,64,1,1.0,0.0,173185.0,86592.5,4.747993947640124
128,SPS-District K-12,K-12 School,DELRIDGE,1,1,145341,K-12 School,39.5,5499097.0,206.01,1.42,53,1,1.0,0.0,145341.0,145341.0,4.2146541792789405
129,NonResidential,Warehouse,GREATER DUWAMISH,1,4,114297,Non-Refrigerated Warehouse,18.39999962,2100097.75,69.44,0.61,112,1,1.0,0.0,114297.0,28574.25,3.826708733326973
130,SPS-District K-12,K-12 School,SOUTHEAST,1,2,184125,K-12 School,47.79999924,8800292.0,328.97,1.79,56,1,1.0,0.0,184125.0,92062.5,6.456015496364711
132,NonResidential,Warehouse,GREATER DUWAMISH,1,1,234144,Non-Refrigerated Warehouse,28.79999924,6744317.0,297.43,1.27,79,1,1.0,0.0,234144.0,234144.0,3.258707608301088
133,NonResidential,Retail Store,DELRIDGE,1,1,64984,Retail Store,45.0,2944296.25,35.78,0.55,50,1,1.0,0.0,64984.0,64984.0,5.991678422919729
134,NonResidential,Retail Store,DELRIDGE,1,1,67745,Retail Store,136.1999969,9230223.0,369.14,5.45,51,1,1.0,0.0,67745.0,67745.0,5.991678422919729
135,SPS-District K-12,K-12 School,DELRIDGE,1,2,367884,K-12 School,33.29999924,12265516.0,272.85,0.74,6,1,1.0,0.0,367884.0,183942.0,5.537739180978509
136,SPS-District K-12,K-12 School,DELRIDGE,1,1,46797,K-12 School,44.40000153,2075891.0,73.47,1.57,58,1,1.0,0.0,46797.0,46797.0,6.3648866541262725
138,NonResidential,Other,BALLARD,1,3,56000,Other,33.09999847,1851260.5,59.34,1.06,43,1,1.0,0.0,56000.0,18666.667,5.768306526412674
139,SPS-District K-12,K-12 School,SOUTHEAST,1,2,67371,K-12 School,31.60000038,2128459.0,46.36,0.69,12,1,1.0,0.0,67371.0,33685.5,5.139769673452712
140,NonResidential,Self-Storage Facility,SOUTHWEST,1,2,52088,Self-Storage Facility,26.39999962,1377519.5,48.99,0.94,47,1,1.0,0.0,52088.0,26044.0,4.7175314735594
141,SPS-District K-12,K-12 School,LAKE UNION,1,3,127776,K-12 School,37.20000076,4748137.0,80.08,0.63,6,1,1.0,0.0,127776.0,42592.0,3.523839916125911
142,NonResidential,Hotel,LAKE UNION,1,5,123920,Hotel,75.59999847,9373179.0,309.6,2.5,18,3,0.75791,0.24209,123920.0,24784.0,1.630095505132255
143,Nonresidential COS,Other,LAKE UNION,1,1,50000,Museum,175.6000061,7548807.0,225.69,4.51,116,1,1.0,0.0,50000.0,50000.0,1.491719555923804
144,Nonresidential COS,Warehouse,MAGNOLIA / QUEEN ANNE,1,2,50292,Non-Refrigerated Warehouse,8.0,430473.6875,3.0,0.06,90,4,1.0,0.0,50292.0,25146.0,1.420377892233767
145,NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1,7,207656,Hotel,78.90000153,11171988.0,338.16,1.63,18,1,0.73831,0.26169,207656.0,29665.143,1.5425164889395582
146,SPS-District K-12,K-12 School,BALLARD,1,2,67235,K-12 School,34.0,2284133.75,49.12,0.73,17,1,1.0,0.0,67235.0,33617.5,5.673265529861385
147,Nonresidential COS,Small- and Mid-Sized Office,NORTHWEST,1,2,91130,Office,100.5,9472358.0,175.77,1.93,59,5,1.0,0.0,91130.0,45565.0,6.521059675336901
148,SPS-District K-12,K-12 School,SOUTHWEST,1,3,58118,K-12 School,23.79999924,1407277.25,21.29,0.37,25,1,1.0,0.0,58118.0,19372.667,5.25706411016852
149,NonResidential,Hotel,NORTHWEST,1,4,64893,Hotel,95.5,6197825.0,208.26,3.21,48,1,1.0,0.0,64893.0,16223.25,7.108896935138255
151,SPS-District K-12,K-12 School,GREATER DUWAMISH,1,1,70762,K-12 School,51.0,3606416.0,168.88,2.39,91,1,1.0,0.0,70762.0,70762.0,4.995703552966934
152,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1,3,44558,Office,37.59999847,1677002.25,28.27,0.63,116,3,1.0,0.0,44558.0,14852.667,0.3834044353618596
153,NonResidential,Other,GREATER DUWAMISH,1,6,1585960,Other - Entertainment/Public Assembly,37.70000076,59757440.0,892.63,0.56,17,2,0.79339,0.20661,1585960.0,264326.667,0.7433059527767965
154,Nonresidential COS,Distribution Center,GREATER DUWAMISH,1,2,179161,Distribution Center,52.20000076,9436408.0,96.43,0.54,92,4,1.0,0.0,179161.0,89580.5,2.369333685691412
155,Nonresidential COS,Warehouse,GREATER DUWAMISH,1,2,58640,Non-Refrigerated Warehouse,55.90000153,3928695.25,27.39,0.47,51,4,1.0,0.0,58640.0,29320.0,2.369333685691412
156,NonResidential,Other,GREATER DUWAMISH,1,3,1172127,Other - Entertainment/Public Assembly,50.09999847,58761304.0,1246.55,1.06,17,1,1.0,0.0,1172127.0,390709.0,1.0619626671280222
157,NonResidential,Hotel,GREATER DUWAMISH,1,9,168449,Hotel,88.19999695,12726789.0,388.37,2.31,11,3,0.91352,0.08648,168449.0,18716.556,0.9358453022319492
158,SPS-District K-12,K-12 School,LAKE UNION,1,4,241066,K-12 School,32.29999924,7791957.0,270.97,1.12,19,1,1.0,0.0,241066.0,60266.5,3.728325564707621
159,Campus,Large Office,GREATER DUWAMISH,14,2,334368,Office,159.8999939,53466684.0,748.55,2.24,36,4,0.90467,0.09533,23883.429,167184.0,5.729929480881305
160,NonResidential,Other,NORTH,1,6,419848,Parking,107.8000031,9134963.0,162.41,0.39,8,5,0.20183,0.79817,419848.0,69974.667,6.677908271265694
161,NonResidential,Mixed Use Property,MAGNOLIA / QUEEN ANNE,1,4,110785,Multifamily Housing,95.30000305,10557910.0,92.91,0.84,14,5,1.0,0.0,110785.0,27696.25,1.7022857395715385
162,Multifamily MR (5-9),Mid-Rise Multifamily,DOWNTOWN,1,7,116947,Multifamily Housing,79.90000153,10040121.0,279.35,2.39,13,4,1.0,0.0,116947.0,16706.714,0.6508564242587589
163,NonResidential,Hospital,CENTRAL,6,5,597519,Hospital (General Medical & Surgical),238.3999939,143423024.0,4906.33,8.21,26,2,1.0,0.0,99586.5,119503.8,1.0462621722946797
164,SPS-District K-12,K-12 School,DELRIDGE,1,1,71714,K-12 School,33.09999847,2371358.0,36.24,0.51,17,1,1.0,0.0,71714.0,71714.0,5.644602005195766
